;title;text;label
0;Sanders back in U.S. Senate
413; Alabama Supreme Court SHOCKS Conservatives With This Latest Ruling;Alabama Supreme Court Chief Justice Roy Moore is so pissed right now.Ever since the U.S. Supreme Court legalized same-sex marriage in their Obergefell v. Hodges ruling last summer
414;FLASHBACK To 2014 WaPo Headline: “Obama Should Fire John Brennan” For Lying…Only One Year After James Clapper Was Caught Lying Under Oath;Yesterday
415;High court emissions ruling won't deter clean energy drive ;WASHINGTON (Reuters) - The U.S. power sector’s shift toward burning less coal and using more natural gas and renewable energy will not be derailed by the Supreme Court ruling against the Obama administration’s limits on carbon emissions
416; Hey Trump Fans: Trump Hasn’t Improved The Economy One Single Bit
417;Kremlin says Senate sanctions move an attempt to prolong U.S.-Russia enmity;MOSCOW (Reuters) - Proposed Senate legislation to impose sanctions on Russia over allegations it tried to influence the U.S. presidential election are an attempt to prolong the harm already done to U.S.-Russian ties
418; Right-Leaning Wall Street Journal Turns Its Back On Trump In BLISTERING Op-Ed;Trump s war on the media isn t earning him any allies
419;U.S. Justice Dept seeks to scale back scope of warrant on anti-Trump site;WASHINGTON (Reuters) - The U.S. Justice Department is scaling back its request to obtain a broad swath of data in connection with an anti-Trump website
420;France's Macron says EU all united on Brexit talks;BRUSSELS (Reuters) - French President Emmanuel Macron said on Thursday that the European Union s 27 remaining nations were all united in their stance on Brexit behind the bloc s negotiator Michel Barnier in talks on Britain s withdrawal.  This European Council will be marked by a message of unity
421;Trump faces obstacles in bid to re-shape key U.S. courts;WASHINGTON (Reuters) - President Donald Trump’s effort to reshape influential U.S. courts by stocking them with conservative judges faces at least one significant impediment: some of the courts best placed to thwart his agenda have liberal majorities that are likely to stay in place in the short-term. Those courts
422;SEXTING ADDICT ANTHONY WEINER FINALLY Gets Help For Out-Of Control Behavior;Anthony Weiner
423;HOLLYWOOD’S SLICK PRO-HILLARY AD Gets A TRUMP Redo You’ll Love [Video];A bunch of celebrities set out to hijack our election but we Trump supporters hijacked their pompous ad. #MAGA retweet make this go viral! pic.twitter.com/rVDCvSc9G9  Elizabeth Imus (@imuszero) September 23
424; WATCH: Trump Assumes Black Reporter Can Set Up A Meeting With Black Lawmakers For Him;After claiming that he s  the least racist person
425;South Carolina Governor Haley accepts Trump's U.N. offer: NBC;(Reuters) - South Carolina Governor Nikki Haley has accepted President-elect Donald Trump’s offer to be the U.S. ambassador to the United Nations
426;Syrian Kurdish militia open fire on Turkish border post: CNN Turk;ISTANBUL (Reuters) - Syrian Kurdish PYD forces sprayed a Turkish border post with gunfire late on Tuesday
427;Suspicious object found with body in Stockholm not dangerous
428;Pressured by Trump
429; Watch This CBS Host Utterly DEMOLISH Ted Cruz For Being Racist;Ted Cruz has said many stupid things during his run for the Republican nomination yet it s no surprise  he s still a contender among GOP candidates since all the choices are pretty bad. The senator from Texas faced tough questions from CBS This Morning hosts about his call for law enforcement officials to patrol Muslim communities. After the attacks in Belgium
430;FRANCE: “Topless Trump” And “Topless Marine Le Pen” Dragged Away From Polling Place
"431;can the american people defeat the oligarchy that rules them;""réunion du conseil de sécurité du  octobre 
document préparatoire de la présidence russe réseau voltaire  new york étatsunis   octobre  english español ??????? ???? ?? coopération entre lorganisation des nations unies et les organisations régionales et sousrégionales aux fins du maintien de la paix et de la sécurité internationales  organisation du traité de sécurité collective organisation de shanghai pour la coopération et communauté détats indépendants la fédération de russie compte organiser le  octobre  un débat sur le thème  coopération entre lorganisation des nations unies et les organisations régionales et sousrégionales aux fins du maintien de la paix et de la sécurité internationales  organisation du traité de sécurité collective organisation de shanghai pour la coopération et communauté détats indépendants  qui constituera un évènement phare de sa présidence au conseil de sécurité
au vu de la dimension mondiale des problèmes et menaces actuels et de la nécessité délaborer des stratégies collectives pour les combattre efficacement il est essentiel de renforcer la coopération entre lonu et les organisations régionales et sousrégionales dans le domaine du maintien de la paix et de la sécurité
pour ce qui est de lonu il sagit avant tout de tirer parti de son caractère universel aussi bien au niveau de ses membres que de ses activités ainsi que de sa légitimité mondialement reconnue les organisations régionales quant à elles connaissent souvent mieux la situation dans les régions relevant de leur compétence et dans de nombreux cas sont dotées de mécanismes de prévention et de maintien de la paix adaptés aux réalités locales il importe à cet égard que les activités des organisations régionales tendent à trouver des solutions pacifiques et politiques aux conflits émergents
dans ce contexte il est particulièrement important que lonu et ses principaux partenaires régionaux se coordonnent régulièrement sur les questions ayant trait au maintien de la paix et de la sécurité internationales ainsi le conseil de sécurité tient régulièrement des séances sur la coopération avec lunion africaine lorganisation pour la sécurité et la coopération en europe et lunion européenne ces dernières années un examen a également été mené sur la coopération avec la ligue des états arabes lassociation des nations de lasie du sudest lunion des nations de lamérique du sud et dautres organisations régionales
comme on le sait la collaboration entre lonu et ses partenaires régionaux couvre un nombre toujours plus grand de questions aux activités de maintien et de consolidation de la paix sont venues sajouter la lutte contre la prolifération des armes de destruction massive et le trafic darmes légères et de petit calibre ainsi que la lutte contre le cyberterrorisme et la migration illégale domaines dans lesquels la coopération entre les organisations concernées et lonu est de plus en plus étroite cette coopération joue un rôle essentiel dans le maintien de la paix et de la stabilité à léchelle de leurasie et plus particulièrement en asie centrale
cest précisément dans ce domaine quuvrent trois organisations relativement jeunes dans une vaste zone sétendant de leurope orientale à lextrêmeorient à savoir lorganisation du traité de sécurité collective otsc lorganisation de shanghai pour la coopération et la communauté détats indépendants cei de plus en plus influentes sur la scène politique mondiale ces organisations contribuent considérablement au renforcement de la sécurité régionale et internationale
le débat sera axé sur le rôle de ces trois organisations dans la lutte contre les menaces qui pèsent sur la paix et la sécurité dans la région notamment le terrorisme le trafic de drogues et la criminalité organisée il permettra également à ces organisations de réaffirmer leur volonté de renforcer la coopération sur le plan pratique avec lonu notamment avec son centre régional pour la diplomatie préventive en asie centrale
lotsc est une structure pluridimensionnelle à même de réagir résolument aux divers problèmes et menaces actuels auxquels peuvent faire face ses états membres à cet égard le resserrement de la coopération entre lonu est lotsc dans le domaine du maintien de la paix est prometteur lotsc déploie dimportants efforts pour renforcer ses propres capacités de maintien de la paix qui pourront aussi être mises à la disposition des opérations de maintien de la paix des nations unies elle contribue activement en outre aux actions menées sur le plan international pour reconstruire lafghanistan après le conflit et pour écarter la menace que représentent les stupéfiants provenant de ce pays
ses relations avec lonu se révèlent fructueuses dans de nombreux domaines comme la lutte contre le terrorisme et le trafic de drogues le maintien de la paix ou la lutte contre la criminalité organisée lotsc entretient et développe des rapports productifs avec les entités spécialisées de lonu notamment le comité contre le terrorisme du conseil de sécurité et loffice des nations unies contre la drogue et le crime
tous les deux ans lassemblée générale adopte une résolution sur la coopération entre lonu et lotsc et il est prévu quelle en adopte une à sa soixante et onzième session au titre du point de lordre du jour intitulé  coopération entre lorganisation des nations unies et les organisations régionales ou autres 
les fondements juridiques de la coopération entre lonu et lorganisation de shanghai pour la coopération dans le domaine du maintien de la paix et de la sécurité internationales au titre du chapitre viii de la charte des nations unies ont été posés à la suite de la signature en  de la déclaration conjointe sur la coopération entre les secrétariats des deux organisations actuellement lorganisation de shanghai et lonu collaborent étroitement dans des domaines tels que la prévention et le règlement des conflits la lutte contre le terrorisme linstance régionale de lutte contre le terrorisme relevant de lorganisation de shanghai uvre à cette fin la nonprolifération des armes de destruction massive la lutte contre la criminalité transnationale et le trafic de drogues et la sécurité informatique internationale
dans ce contexte lorganisation de shanghai appuie activement les efforts déployés par la communauté internationale et les organismes des nations unies pour rétablir la paix en afghanistan se prononçant toujours en faveur du maintien du rôle central de coordination de lonu dans le règlement du conflit afghan
quant à la cei la sécurité et la lutte contre les menaces actuelles ont toujours été et demeurent un des domaines prioritaires de coopération entre ses états membres
une coopération constructive avec les organisations internationales est également essentielle pour contrer les menaces émergentes les pays de la cei sont parties à tous les principaux instruments internationaux régissant la coopération dans les domaines de la sécurité du désarmement et de la lutte contre les menaces actuelles et contribuent efficacement à leur mise en uvre
des mesures conjointes sont prises compte tenu du rôle moteur de lonu et de la nécessité détablir des partenariats constructifs avec dautres institutions internationales et leurs entités spécialisées comme le comité contre le terrorisme loffice des nations unies contre la drogue et le crime lorganisation internationale de police criminelle interpol lorganisation internationale pour les migrations le hautcommissariat des nations unies pour les réfugiés et le groupe daction financière sur le blanchiment des capitaux
lélargissement et le renforcement de la coopération entre lonu et lotsc lorganisation de shanghai pour la coopération et la cei au titre du chapitre viii de la charte des nations unies semble contribuer de manière constructive à la réalisation des objectifs de lonu y compris à lélimination des menaces et problèmes actuels dune part ces organisations régionales doivent activement envisager de mettre leurs capacités au service de lonu et dautre part lonu doit continuer daccorder lattention voulue au renforcement de la coordination et de la coopération avec ces organisations dans le strict respect de ses propres prérogatives et de celles de son conseil de sécurité
dans ce contexte nous invitons les états membres de lonu à exposer leurs idées sur les moyens de renforcer la sécurité dans la région eurasienne avec laide des mécanismes régionaux existants force est de constater que la stabilité de cette vaste région est une condition sine qua non de la croissance économique et de lédification de létat des pays de leurasie et nous serions par conséquent reconnaissants aux délégations de nous faire part de leurs vues notamment en ce qui concerne les liens entre sécurité et développement nous sommes convaincus quici dans le cadre de lonu qui jouit dune légitimité universelle nous serons tous ensemble en mesure de proposer des stratégies novatrices visant la stabilisation des régions vulnérables susceptibles par la suite dêtre mises en uvre dans dautres régions du monde qui sont au centre des préoccupations du conseil de sécurité
le secrétaire général de lonu ban kimoon le secrétaire général de lotsc nikolaï bordiouja le secrétaire général de lorganisation de shanghai pour la coopération rachid alimov et le viceprésident du comité exécutif de la cei serguei ivanov feront un exposé lors du débat les états membres des organisations régionales susmentionnées et les représentants dautres états intéressés sont invités à participer à la réunion"";0"
432; Pres. Obama Just Saved Chelsea Manning On His Way Out The Door;Presidential commutations and pardons are not at all uncommon. However
433;DRAMATIC VIDEO RELEASED: Brave Soldier Tries Escaping North Korea Under Gunfire [Video];The American-led UN Command just released very dramatic video showing a North Korean soldier trying to escape across the border into South Korea. The tricky thing is that four soldiers were firing on him the entire time The video starts with a lone soldier driving a dark olive-green jeep  down a straight
434;Fearing Russia
435;Trump tried to call New York prosecutor Bharara before firing him: officials;WASHINGTON (Reuters) - Two days before U.S. Attorney Preet Bharara was fired
436;U.N. extends Syria round to Dec. 15
437;Germany's Social Democrats beat Merkel's conservatives in state vote;BERLIN (Reuters) - Germany s Social Democrats (SPD) beat Angela Merkel s conservatives in a vote in the northern state of Lower Saxony on Sunday in a setback to the chancellor as she prepares for tricky three-way coalition talks at the national level this week. The SPD
438; Ben Carson STUNS Republicans
439;Suspected U.S. drone kills militants on Pakistan-Afghan border;PARACHINAR
440;Factbox: Trump on Twitter (June 9) - Comey
"441;ers fans care more about victories than kaepernick;""dutch antiislam mp wilders to snub hate speech trial afp october   
defiant dutch antiislam politician geert wilders said friday he will refuse to attend his hate speech trial next week dubbing it a travesty aimed at silencing him as the country prepares for  elections 
the trial opens on monday before a threejudge bench with the farright politician facing charges of insulting a racial group and inciting racial hatred for comments he made about moroccans living in the netherlands 
it is my right and my duty as a politician to speak about the problems in our country wilders said in a statement friday dubbing the case a political trial in which i refuse to cooperate 
it comes as opinion polls have shown his farright freedom party pvv doing well ahead of march elections 
after riding high amid the migrant crisis the party is now polling neckandneck with prime minister mark ruttes liberals each predicted to win between  to  seats in the seat parliament 
set to last until november  the trial focuses on a comment made at a march  rally when wilders asked supporters if they wanted fewer or more moroccans in your city and in the netherlands 
when the crowd shouted back fewer fewer wilders answered were going to organise that 
snip 
wilders said friday he would leave his defence in the hands of his lawyer geertjan knoops and instead go to work in the parliament in the hague 
snip 
judges earlier this month dismissed arguments by wilders lawyers that the trial was politically motivated adding they did not believe it will impact the pvvs election campaign 
politicians are granted broad freedoms of expression because of their official position the judges ruled last month 
precisely therefore politicians have an important role to avoid feeding intolerance by making these kind of public statements 
wilders hit back friday saying it is a travesty that i have to stand trial because i spoke about fewer moroccans 
millions of dutch citizens  percent of the population want fewer moroccans he claimed 
not because they despise all moroccans or want all moroccans out of the country but because they are sick and tired of the nuisance and terror caused by so many moroccans 
snip"";0"
442;Venezuelan migrants pose humanitarian problem in Brazil;BOA VISTA
443; BREAKING: Yet ANOTHER Trump Advisor Caught With Disturbing Russian Connections;There is a disturbing trend in the Trump campaign. After revelations in August came to light that Trump campaign manager Paul Manafort was a lobbyist on behalf of pro-Russian Ukrainian leader Viktor Yanukovych
444; Protesters Welcome Trump Home To His Golden Tower With The Best #RESISTANCE Display Yet (IMAGE);Donald Trump has not been having a good weekend. He was blasted by Congressional members on both sides of the aisle due to his failure to immediately condemn white supremacists
445;THE ENDEARING THING TRUMP DOES TO HIS TIE That Has The Liberals Going Crazy;SALON WENT NUTS:Half Windsor
446;Kurdish leaders studying western delegation plan to delay referendum;ERBIL (Reuters) - Kurdish leaders will study a western delegation s plan to delay the autonomous region s planned referendum on independence
447;White House says draft interrogation order is not a White House document;WASHINGTON (Reuters) - A draft order calling for a review of whether a defunct CIA program to interrogate terrorist suspects in secret overseas “black site” prisons should be revived is not a White House document
448;Iraq asks U.N. for help to build new nuclear power reactor;NEW YORK (Reuters) - Iraq asked on Saturday for assistance in building a nuclear power reactor for peaceful purposes
"449;SICKENING! READ OBAMA’S RAMADAN MESSAGE: “I stand firmly with the Muslim American communities…”;""THE ARTICLE BELOW IS FROM POLITICO   This article is a perfect example of the main stream media s bias combined with Barack Hussein Obama s lies and spin of the truth. First of all"
450;Myanmar says U.S. official barred from Rohingya conflict zone;YANGON (Reuters) - Myanmar said on Friday a visiting U.S. official would not be allowed to go to a region where violence has triggered an exodus of nearly 400
451; MAJOR Ad Vendor Bans Breitbart For Hate Speech
452;Russia reopens ferry route to North Korea;MOSCOW (Reuters) - Sea trips between Vladivostok
453; Sarah Palin’s Pick To Replace Paul Ryan Wants To Challenge The Speaker To An Arm Wrestling Match (VIDEO);The media has been telling us for months now that the Republican party is in a civil war. It is. The war
"454;loretta lynch takes on killer cops  except in dc;""support for assaultweapon ban hits record low even widely opposed by those who dont even own guns published  mins ago 
the federalist support for a socalled assault weapons ban in the us just hit a record low of  percent according to a new gallup poll released on wednesday the poll showed that  percent of american adults now oppose a ban that level of opposition is the highest ever recorded 
increasing opposition to the sera gun ban isnt just limited to republicans gallups data show that opposition to the ban has increased across the board barely  percent of democrats currently support the ban today compared to  percent support from democrats in  just two years after the federal ban was signed into law less than a third of independents currently support a ban while republican support hovers at  percent"";1"
455;Cambodia's Hun Sen vows to stay in power for at least another 10 years;PHNOM PENH (Reuters) - Cambodian Prime Minister Hun Sen vowed to extend his more than 30 years in power by at least another decade on Wednesday
456;Mattis visits Seoul for defense talks as tensions climb;SEOUL (Reuters) - U.S. Defense Secretary Jim Mattis flew into Seoul on Friday for annual defense talks as tensions with North Korea climb ahead of a visit to the region next month by President Donald Trump. Mattis has emphasized diplomatic efforts to find a peaceful solution to the crisis during his week-long trip to Asia
457; Sarah Silverman And Bill Maher DESTROY ‘Fact-Free’ Republican Debate (VIDEO);Sarah Silverman and Bill Maher destroyed the so-called Fox Republican debates in what Maher described as  completely fact free.  They both wondered why Hillary and Bernie couldn t debate the Republican candidates right now. This
458; WATCH: Here’s What Happened When Trump’s ‘Publicist’ Called Stephen Colbert;Stephen Colbert got an exclusive interview on CBS  The Late Show when Donald Trump s  publicist  called in. The publicist has been in the news lately since it was revealed that Trump pretended to be his own representative while dealing with the media in the 1980s and 1990s.The Washington Post reported that Trump often called up reporters who were covering him and pretended to be  John Miller  and  John Barron.  Trump then would use the fake identity to push stories about how he was purportedly dating models and celebrities like Madonna.Trump denied that he behaved this way in an interview with the Today show
459; Hypocrite Republicans Refuse To Investigate Flynn Scandal;After years of investigating Hillary Clinton over Benghazi despite her resignation
460;U.S. appeals court questions scope of Trump travel ban;SEATTLE (Reuters) - A U.S. appeals court on Monday sharply questioned a lawyer defending President Donald Trump’s effort to broadly enforce a temporary refugee ban that the Republican president said was necessary for national security. At a hearing in Seattle
461;Coalition of 24 states urges Trump to kill Obama's carbon emission plan;(Reuters) - Officials in 24 states have urged U.S. President-elect Donald Trump to kill the centerpiece of President Barack Obama’s strategy to combat climate change and shut down coal-fired power plants. The coalition requested the incoming Republican government undo the Clean Power Plan enacted by the current Democratic administration. The law was designed to lower carbon emissions mainly from coal-fired power plants by 2030 to 32 percent below 2005 levels.     The Supreme Court has ordered a delay in implementation until legal challenges to the regulation are completed. The group
462; Dan Rather Breaks Objectivity
463;Kentucky declares Clinton Democratic primary winner after recanvass;WASHINGTON (Reuters) - A recanvass of Kentucky’s Democratic presidential primary results found Hillary Clinton won the contest by 1
464; Joe Biden Dishes The Real Dirt On GOP Senators Who Refused To Confirm Merrick Garland;About eight years ago
"465;what is going on with wikileaks;""new leaked clinton emails came from the devices of anthony weiner  shares by dean daniels  october    politics  
on friday the fbi announced an investigation into newly leaked emails linked to hillary clinton in a surprising twist the new leaked emails from the private email server were discovered after the fbi confiscated electronic devices belonging to top aide huma abedin her controversial and perverted husband anthony weiner 
officially the federal law enforcement agents are opening an investigation into weiner texting a yearold in north carolina and according to director comey the fbi were taking steps to determine whether they contain classified information as well as to assess their importance to our investigation 
shortly after the announcement donald trump utilized the situation to advantage and running theme of clintons corruption at a rally in new hampshire supporters nearly cheered in complete unison lock her up 
hillary clintons corruption is on a scale we have never seen before we must not let her take her criminal scheme into the oval office said trump to the roaring crowd 
i have great respect for the fact that the fbi and the doj are now willing to have the courage to right the horrible mistake that they made mr trump said referring also to the department of justice this was a grave miscarriage of justice that the american people fully understand it is everybodys hope that it is about to be corrected 
the fbis decision to reopen their criminal investigation into hillary clintons secret email server just  days before the election shows how serious this discovery must be reince priebus the republican committee chairman said in a statement this stunning development raises serious questions about what records may not have been turned over and why and whether they show intent to violate the law 
sign up to get alerts about dennis michael lynchs upcoming donald trump film and breaking news subscribe"";0"
466;WATCH A SHOCKING VIEW Of A Woman’s Life Under Sharia Law…Women’s March Organizer Is Pro-Sharia Law! [Video];PLEASE LISTEN TO LINDA SARSOUR SPEAK ABOUT HOW DISSAPOINTED SHE IS THAT 22 STATES HAVE VOTED AGAINST SHARIA LAW:  HAHA! Leader and organizer of Washington #WomensMarch is annoyed that 22 US states don t allow Sharia laws. Blames Islamaphobia! pic.twitter.com/fjN3WQ7p7P  Onlinemagazin (@OnlineMagazin) January 23
467;GRAB THE POPCORN! Queen Of Corruption DENIED Special Treatment For First Debate;The Drudge Report has gained access to the rules for the upcoming Mega-Debate between Hillary and Trump. Hillary s always angling for an advantage
468;Turkey's economy minister defends predecessor over Iran sanctions charges;ANKARA (Reuters) - Turkey s economy minister said on Thursday his predecessor Zafer Caglayan
469;Turkey's Erdogan to visit Qatar on November 15;ISTANBUL (Reuters) - Turkey s President Tayyip Erdogan will travel next week to Qatar
470;PENTAGON REQUEST DENIED: [Video] ARMED CITIZENS DEFENDING RECRUITMENT CENTERS WON’T STAND DOWN;Ordinary citizens (many of them are proud veterans) are filling a breach left by our federal government US Navy veteran Tim Keown has been standing guard outside a recruitment center in Kentucky for a week now.Tim made the decision to guard the local recruitment center after an Islamic terrorist murdered five servicemen in Chattanooga last week. Keown also helped organize other armed guards at recruitment centers across the country.Citizen guards protect a recruitment office after the Chattanooga terrorist attack.The Pentagon released a statement on Friday asking citizens not to stand guard at the unprotected recruiting offices. But the Pentagon has no plans on changing policy that forbids servicemen and women from carrying weapons at the centers. Evidently
471;FPL shuts one reactor in Florida
472;Trump will not be charged with 'inciting riot' in North Carolina;WINSTON-SALEM
473;German legal experts say Poland has no right to WW2 reparations: report;BERLIN (Reuters) - German parliamentary legal experts
474;Obama praises Argentina's 'man in a hurry' Macri for reforms;BUENOS AIRES (Reuters) - U.S. President Barack Obama on Wednesday championed Argentina’s new center-right leader Mauricio Macri as an example for other countries in Latin America
475; While You Were Distracted
"476;the bundy verdict is another defeat for obama;""obamas un ambassador cuba is right about our human rights october   daniel greenfield 
you may remember ambassador samantha power from the time she proposed invading israel since then shes gone on to a glorious career of representing the castro regime at the un or is it the obama regime it naturally gets confusing when the us ambassador to the un sides with the enemy against her own country 
for more than  years the united states had a policy aimed at isolating the government of cuba for roughly half of those years un member states have voted overwhelmingly for a general assembly resolution that condemns the us embargo and calls for it to be ended the united states has always voted against this resolution today the united states will abstain applause thank you 
under obama power was told to abstain from opposing a resolution critical of the united states and they say obama is some sort of antiamerican traitor i dont see it if he were we would be seeing signs of it by now 
anyway power then went on to audition for the job of the un ambassador from cuba by claiming that critiques from a brutal communist dictatorship about our human rights are wellfounded 
let me be among the first to acknowledge  as our cuban counterparts often point out  that the united states has work to do in fulfilling these rights for our own citizens and we know that at times in our history us leaders and citizens used the pretext of promoting democracy and human rights in the region to justify actions that have left a deep legacy of mistrust 
somehow though siding with communist dictatorships who are the enemy while betraying our allies in the region does not create any mistrust only opposing the left does"";1"
477;U.S. agency to help Iraq recover from IS despite Trump aid cuts;BAGHDAD (Reuters) - The United States is committed to helping Iraq recover from three years of war against Islamic State despite President Donald Trump cutting the foreign aid budget
478;Kenya election board: all eight candidates will be on ballot in repeat poll;NAIROBI (Reuters) - Kenya s election board said on Wednesday that all eight presidential candidates who competed in elections in August - later nullified by the Supreme Court - would be on the ballot when repeat elections were held on Oct. 26.  The board also noted that opposition leader Raila Odinga
479;Microsoft Just Gamed Our Tax System With Its $26 Billion Purchase Of LinkedIn;Microsoft is buying LinkedIn and they have so much cash on hand that they could pay for the professional social network four times over without ever needing to even pick up the phone to start dialing the number of a single bank. Yet
480;Iran confirms upholding death sentence for academic over spying;DUBAI (Reuters) - Iran s Supreme Court has upheld a death sentence against a Sweden-based Iranian academic convicted of spying for Israel
481;White House says Congress has no reason to wait until after Nov election to take up TPP;WASHINGTON (Reuters) - The White House on Thursday said that it sees no reason to wait until after the Nov. 8 presidential election for Congress to take up discussions on the Trans-Pacific Partnership “There’s no reason we need to wait that long
482;Group of 40 U.S. House Democrats oppose delay of Labor Dept retirement rule;NEW YORK (Reuters) - Forty House Democrats
483;Trump administration to expand groups of immigrants to be deported: documents;WASHINGTON (Reuters) - The Trump administration plans to direct immigration agents to greatly expand the categories of immigrants they target for deportation
484;Kushner used private email account for White House business: Politico;WASHINGTON (Reuters) - President Donald Trump’s son-in-law and close adviser
485;Bahraini military court convicts six to death on terror charges;(In Dec. 25 story
486;MUST WATCH VIDEO: LISTEN TO OBAMA AND HIS COMMIE MENTOR AND YOU’LL WONDER HOW SOMEONE WHO DISLIKES AMERICA SO MUCH COULD BECOME OUR PRESIDENT;OBAMA SPEAKS ABOUT FRANK AND HIS MENTOR WHO SCHOOLED HIM ON WHITE RACISM  What I m trying to tell you is your [white] grandma s right to be scared . She understands that black people have a reason to hate. That s just how it is. For your sake
487;South Africa to increase spending on higher education: Zuma;JOHANNESBURG (Reuters) - South Africa will raise subsidies to universities to 1 percent of gross domestic product over the next five years from nearly 0.7 percent at present as recommended by a commission on higher education funding
488; Watch Joe Biden Tells Us EXACTLY What Trump Is
489;FBI
490; Elizabeth Warren Just SHREDDED Trump For Being A ‘Sore Loser’ Before Election Is Even Over;Have you noticed that Donald Trump has opted to not attack or retaliate against Elizabeth Warren for quite some time? That s because the Massachusetts Senator is a professional truth teller whose epic tweetstorms put the Republican nominee in his place each and every time.Indeed
491;VETERAN BIKER GROUP Helps Returning Soldier Force Out Illegal Ex-Con Squatters;HOW IS IT THAT SQUATTERS HAVE MORE RIGHTS THAN LEGAL HOMEOWNERS?HOW TO TAKE OVER SOMEONE S PROPERTY AND GET AWAY WITH IT: Adverse possession is a principle of real estate law that gives anyone who possesses the land of another for an extended period of time in an  actual
492;Supreme Court breathes new life into Trump's travel ban;WASHINGTON (Reuters) - The U.S. Supreme Court on Monday handed a victory to President Donald Trump by reviving parts of a travel ban on people from six Muslim-majority countries that he said is needed for national security but that opponents decry as discriminatory. The justices narrowed the scope of lower court rulings that had completely blocked key parts of a March 6 executive order that Trump had said was needed to prevent terrorism attacks
"493; ‘Bathroom Police’ Law Sets South Carolina GOP Governor Into Panic Mode: ‘We Didn’t Ask For This!’;""Nikki Haley"
494;ANGRY Venezuelans CHASE Their President…Bang On Pots And Yell [Video];Scenes from the confrontation late Friday
495;Britons can change terms of Brexit to diverge from EU: pro-Brexit minister Gove;LONDON (Reuters) - British voters will be able to change the terms of the country s relationship with the European Union after leaving the bloc if they don t like the final Brexit deal
496;HILARIOUS! LIBERALS STUNNED When Republican Guest Won’t Play Race-Baiting Game With MSNBC Host…Cuts Off Interview [VIDEO];On Saturday
497;Honduras tribunal says partial vote recount shows same result;TEGUCIGALPA (Reuters) - Honduras  electoral tribunal said on Sunday that a partial recount of votes from the disputed presidential election showed broadly the same result as previously
498;North Korea rejects direct talks with South Korea in Russia: RIA;MOSCOW (Reuters) - North Korean officials have rejected a proposal to hold direct talks with their South Korean counterparts in St Petersburg
499;U.S. top court deals blow to Puerto Rico sovereignty claim;(Reuters) - The U.S. Supreme Court on Thursday ruled that Puerto Rico cannot pursue charges against people for the same crime that federal authorities have already prosecuted them
500; Ivanka Trump Just Said The Dumbest Thing Imaginable During A Fox News Interview (VIDEO);Ivanka Trump is a lot of things to her father   someone he wants to have sex with (his words
501;Canada says ready to come to NAFTA talks 'at any time';OTTAWA (Reuters) - Canada is ready to come to talks on renewing the North American Free Trade Agreement at any time
502;Top Senate Democrat urges Justice Department watchdog to probe possible interference;WASHINGTON (Reuters) - U.S. Senate Democratic Leader Chuck Schumer on Monday called on the Department of Justice’s inspector general to probe any possible political interference in its investigation of contacts between President Donald Trump’s associates and Russia. In a letter to the department’s inspector
503;Alleged Kenyan police killing of girl
504;Kansas lawmakers to hash out fiscal 2017 budget fix;(Reuters) - A committee of Kansas lawmakers will be charged with reconciling differences in legislation passed to plug a $280 million hole in the state’s fiscal 2017 budget after the Senate passed a revised version of a House-approved bill late on Thursday. Both versions would allow the state to borrow money from a long-term investment fund and delay a payment to the Kansas Public Employees Retirement System. But the monetary amounts and plans to repay the cash differ
505;Inspired by 'blasphemy killer'
506;Defense disputes nerve agent used to kill North Korean leader's half-brother;KUALA LUMPUR (Reuters) - Lawyers for two women accused of murdering the estranged half-brother of North Korean leader Kim Jong Un said on Tuesday low enzyme levels in his blood may have been caused by liver disease or hormone pills rather than a lethal nerve agent. Indonesian Siti Aisyah
507;Merkel looks secure for now despite coalition chaos;BERLIN (Reuters) - Chancellor Angela Merkel s conservatives are rallying around her despite the failure of talks to form a three-way ruling coalition
508;U.S. Senate panel puts self-driving cars in fast lane;WASHINGTON (Reuters) - A U.S. Senate panel on Wednesday unanimously gave the green light to a bill aimed at speeding the use of self-driving cars without human controls
509;Should We Worry About McMaster as Trump’s National Security Advisor?;21st Century Wire says Is McMaster going to reignite tensions with Russia?In the follow video Stuart J. Hooper asks if we should be worried about General McMaster replacing General Flynn as Trump s National Security Advisor.While Flynn understood that Russia has a sphere of influence in the world that the US should be wary of encroaching upon
"510;BREAKING! WIKILEAKS Releases Proof That Obama’s CIA Interfered In Frances’ 2012 Election;""BREAKING BOMBSHELL! All of the major political parties in France were targeted by Obama s CIA with both human and electronic spies for the 7 months leading up to their 2012 Presidential election.In a document released by WikiLeaks today"
511;re when americans shall say peace and safety;i think clinton has bought her way with large donors into this oresidency it reeks of big money pay for play quid pro quo you scratch my back ill scratch yours and its the antithesis of what democratic voters think they are getting in hillary clinton a sad testimony to an election of the people for the people by the people her campaigh is all about big money power and greed;0
512;Peru VP says committed to governing if president ousted;LIMA (Reuters) - Neither of Peru s two vice presidents would open the door to new elections by resigning if President Pedro Pablo Kuczynski was forced from office
"513; Elizabeth Warren Issues BLISTERING Takedown Of Trump’s Racist AG Pick;""Donald Trump says he wants to be the president for all Americans"
